"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","ps","1","1978","213","208","216","232","202","213","248","214","226","0.06"
"J","ps","1","1979","258","249","269","235","226","257","255","254","279","0.01"
"J","ps","1","1980","280","266","292","352","350","363","362","366","366","0"
"J","ps","1","1981","243","230","250","267","221","337","286","234","366","0.04"
"J","ps","1","1982","288","277","298","269","262","279","302","295","313","0.16"
"J","ps","1","1983","274","257","292","306","274","354","330","304","366","0.02"
"J","ps","1","1984","264","245","280","269","214","342","305","264","366","0.04"
"J","ps","1","1985","213","197","229","183","183","183","256","213","282","0.36"
"J","ps","1","1986","276","258","296","210","183","232","259","210","288","0.06"
"J","ps","1","1987","336","331","347","308","306","327","364","366","366","0.26"
"J","ps","1","1988","323","307","340","274","269","295","362","366","366","0.43"
"J","ps","1","1989","282","273","290","265","258","272","299","289","308","0.18"
"J","ps","1","1990","242","228","259","196","183","198","267","254","266","0.27"
"J","ps","1","1991","269","262","277","244","231","261","288","280","295","0.18"
"J","ps","1","1992","300","290","310","269","255","291","332","311","366","0.3"
"J","ps","1","1993","337","341","357","248","183","325","365","366","366","0.33"
"J","ps","1","1994","323","313","349","231","183","280","365","366","366","0.63"
"J","ps","1","1995","306","288","340","198","183","209","366","366","366","0.9"
"J","ps","1","1996","270","249","291","214","183","241","323","287","366","0.41"
"J","ps","1","1997","219","197","234","184","183","183","365","366","366","0.77"
"J","ps","1","1998","305","288","334","216","183","252","365","366","366","0.79"
"J","ps","1","1999","297","281","317","210","183","239","362","366","366","0.78"
"J","ps","1","2000","271","253","297","207","183","235","344","337","349","0.71"
"J","ps","1","2001","277","256","304","216","183","247","332","323","345","0.58"
"J","ps","1","2002","256","232","280","199","183","209","333","313","355","0.69"
"J","ps","1","2003","315","304","324","260","254","275","360","354","366","0.51"
"J","ps","1","2004","275","257","292","222","183","255","341","329","357","0.54"
"J","ps","1","2005","335","329","348","267","236","300","365","366","366","0.45"
"J","ps","1","2006","296","290","303","274","266","280","320","312","329","0.24"
"J","ps","1","2007","298","292","304","257","250","264","335","332","338","0.42"
"J","ps","1","2008","310","285","350","225","183","263","366","366","366","0.67"
"J","ps","1","2009","303","310","335","197","183","183","352","351","366","0.35"
"J","ps","1","2010","286","272","303","230","183","260","351","332","366","0.55"
"J","ps","1","2011","304","270","333","248","227","270","363","366","366","0.55"
"J","ps","1","2012","320","316","324","294","290","299","340","337","343","0.24"
"J","ps","1","2013","290","280","293","272","262","280","364","366","366","0.31"
"J","ps","1","2014","321","316","327","292","288","304","354","343","366","0.28"
"J","ps","1","2015","280","220","313","208","183","194","268","207","319","0.24"
"J","ps","1","2016","296","291","299","272","270","277","326","319","331","0.29"
"J","ps","1","2017","285","280","289","262","260","268","320","305","340","0.3"
