"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","ps","1","1978","213","208","217","206","197","208","230","216","226","0.06"
"J","ps","1","1979","280","267","293","297","254","352","324","283","366","0.01"
"J","ps","1","1980","273","259","287","221","183","251","245","197","275","0.01"
"J","ps","1","1981","240","230","247","234","220","238","254","237","257","0.03"
"J","ps","1","1982","288","279","297","264","257","271","312","305","321","0.16"
"J","ps","1","1983","272","254","289","278","183","341","319","268","366","0.03"
"J","ps","1","1984","271","253","288","253","183","331","307","266","366","0.06"
"J","ps","1","1985","208","194","219","183","183","183","241","211","255","0.22"
"J","ps","1","1986","272","258","288","224","183","256","257","207","301","0.03"
"J","ps","1","1987","333","328","345","295","295","323","363","366","366","0.28"
"J","ps","1","1988","321","305","339","271","265","293","362","366","366","0.43"
"J","ps","1","1989","279","272","286","257","251","265","302","293","310","0.17"
"J","ps","1","1990","246","233","262","200","183","217","271","259","271","0.26"
"J","ps","1","1991","271","264","279","248","235","262","292","284","299","0.16"
"J","ps","1","1992","298","287","308","264","249","285","332","314","352","0.3"
"J","ps","1","1993","338","340","357","246","183","320","365","366","366","0.33"
"J","ps","1","1994","323","313","348","226","183","278","366","366","366","0.63"
"J","ps","1","1995","311","295","343","193","183","183","366","366","366","0.92"
"J","ps","1","1996","271","249","293","211","183","236","327","294","366","0.44"
"J","ps","1","1997","222","196","236","184","183","183","366","366","366","0.77"
"J","ps","1","1998","317","305","340","224","183","261","365","366","366","0.73"
"J","ps","1","1999","300","281","326","210","183","240","363","366","366","0.78"
"J","ps","1","2000","272","252","298","205","183","230","352","345","366","0.71"
"J","ps","1","2001","275","250","304","213","183","243","338","330","346","0.56"
"J","ps","1","2002","259","235","283","196","183","204","350","336","366","0.7"
"J","ps","1","2003","314","305","323","261","254","273","361","356","366","0.48"
"J","ps","1","2004","272","250","293","211","183","245","358","355","366","0.58"
"J","ps","1","2005","333","326","346","251","183","289","365","366","366","0.47"
"J","ps","1","2006","296","289","302","270","262","277","323","318","330","0.22"
"J","ps","1","2007","298","293","303","255","248","262","338","335","341","0.43"
"J","ps","1","2008","314","293","350","223","183","264","366","366","366","0.62"
"J","ps","1","2009","304","312","337","192","183","183","363","366","366","0.34"
"J","ps","1","2010","287","273","301","223","183","253","355","340","366","0.57"
"J","ps","1","2011","307","279","334","243","224","263","364","366","366","0.54"
"J","ps","1","2012","319","316","323","286","284","291","345","342","348","0.24"
"J","ps","1","2013","292","280","296","256","253","269","366","366","366","0.31"
"J","ps","1","2014","320","315","329","274","268","294","361","357","366","0.3"
"J","ps","1","2015","282","244","314","208","183","208","322","316","345","0.24"
"J","ps","1","2016","296","292","300","268","265","273","339","332","345","0.29"
"J","ps","1","2017","285","280","290","252","252","262","344","339","352","0.31"
