"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","ps","1","1978","212","203","220","206","183","213","215","196","223","0.06"
"J","ps","1","1979","263","234","286","218","183","253","238","196","273","0"
"J","ps","1","1980","266","246","282","185","183","183","207","191","219","0"
"J","ps","1","1981","242","225","257","270","183","348","293","194","366","0.04"
"J","ps","1","1982","289","269","313","271","256","290","302","285","320","0.15"
"J","ps","1","1983","277","238","306","313","278","359","333","298","366","0.01"
"J","ps","1","1984","287","262","314","291","183","354","315","191","366","0.01"
"J","ps","1","1985","207","187","232","183","183","183","234","204","285","0.23"
"J","ps","1","1986","275","236","306","237","183","295","271","192","366","0.04"
"J","ps","1","1987","339","325","356","318","302","341","364","354","366","0.22"
"J","ps","1","1988","321","297","349","277","257","309","360","339","366","0.41"
"J","ps","1","1989","281","268","296","264","251","275","297","281","314","0.17"
"J","ps","1","1990","246","217","267","197","183","237","276","248","366","0.29"
"J","ps","1","1991","269","251","285","248","224","270","286","270","302","0.15"
"J","ps","1","1992","296","270","326","246","183","294","345","310","366","0.46"
"J","ps","1","1993","348","336","361","267","183","348","365","366","366","0.27"
"J","ps","1","1994","322","280","355","231","183","297","365","366","366","0.65"
"J","ps","1","1995","351","343","360","194","183","242","366","366","366","0.92"
"J","ps","1","1996","270","219","314","211","183","274","317","253","366","0.37"
"J","ps","1","1997","221","188","263","184","183","183","366","366","366","0.76"
"J","ps","1","1998","330","303","358","232","183","279","366","366","366","0.7"
"J","ps","1","1999","293","226","345","214","183","281","362","345","366","0.76"
"J","ps","1","2000","274","216","311","209","183","265","343","331","366","0.69"
"J","ps","1","2001","284","232","315","231","183","294","326","308","347","0.47"
"J","ps","1","2002","255","201","290","195","183","240","336","308","366","0.72"
"J","ps","1","2003","311","295","327","245","183","282","359","347","366","0.58"
"J","ps","1","2004","279","238","326","237","183","272","339","309","360","0.47"
"J","ps","1","2005","332","312","356","272","183","305","364","356","366","0.42"
"J","ps","1","2006","296","283","308","273","261","288","318","303","329","0.23"
"J","ps","1","2007","297","288","307","257","245","270","336","330","341","0.43"
"J","ps","1","2008","340","306","362","224","183","290","366","366","366","0.7"
"J","ps","1","2009","307","202","348","200","183","301","351","332","366","0.35"
"J","ps","1","2010","286","264","322","231","183","268","350","321","366","0.55"
"J","ps","1","2011","304","246","347","248","208","282","362","350","366","0.55"
"J","ps","1","2012","319","312","326","294","287","302","340","336","345","0.24"
"J","ps","1","2013","293","275","324","273","252","338","363","366","366","0.31"
"J","ps","1","2014","323","311","341","293","271","311","355","335","366","0.28"
"J","ps","1","2015","279","198","322","208","183","305","269","194","354","0.24"
"J","ps","1","2016","296","289","304","274","268","281","327","315","340","0.29"
"J","ps","1","2017","286","276","296","260","252","274","319","298","347","0.31"
