"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","ps","1","1978","213","204","220","225","195","350","241","208","366","0.06"
"J","ps","1","1979","278","248","308","305","183","363","319","198","366","0.01"
"J","ps","1","1980","271","243","298","239","183","360","256","187","366","0"
"J","ps","1","1981","241","223","258","253","183","352","271","189","366","0.04"
"J","ps","1","1982","289","269","313","270","254","292","303","282","323","0.16"
"J","ps","1","1983","278","248","311","285","183","359","327","202","366","0.03"
"J","ps","1","1984","273","234","310","263","183","356","309","204","366","0.05"
"J","ps","1","1985","204","187","229","183","183","183","230","204","290","0.19"
"J","ps","1","1986","277","240","314","225","183","300","262","193","366","0.04"
"J","ps","1","1987","337","322","355","309","276","338","363","352","366","0.25"
"J","ps","1","1988","323","296","353","276","227","308","361","343","366","0.42"
"J","ps","1","1989","279","266","294","262","249","275","295","280","314","0.17"
"J","ps","1","1990","244","209","269","196","183","236","263","246","275","0.26"
"J","ps","1","1991","274","258","287","255","228","274","290","276","304","0.14"
"J","ps","1","1992","299","277","321","260","183","297","335","306","366","0.37"
"J","ps","1","1993","331","238","362","247","183","341","365","366","366","0.33"
"J","ps","1","1994","323","271","357","228","183","302","366","366","366","0.63"
"J","ps","1","1995","311","226","357","196","183","244","366","366","366","0.91"
"J","ps","1","1996","271","220","318","210","183","276","325","253","366","0.44"
"J","ps","1","1997","222","191","259","185","183","183","365","366","366","0.76"
"J","ps","1","1998","320","286","355","225","183","276","365","366","366","0.73"
"J","ps","1","1999","298","241","348","215","183","283","362","346","366","0.75"
"J","ps","1","2000","274","218","310","209","183","263","345","333","366","0.7"
"J","ps","1","2001","272","208","315","213","183","279","328","309","349","0.56"
"J","ps","1","2002","262","208","300","202","183","250","335","307","366","0.68"
"J","ps","1","2003","316","297","337","265","248","284","359","348","366","0.49"
"J","ps","1","2004","271","212","340","219","183","266","341","307","361","0.56"
"J","ps","1","2005","333","317","356","265","183","304","364","359","366","0.45"
"J","ps","1","2006","295","282","310","276","261","290","317","299","331","0.21"
"J","ps","1","2007","298","287","309","257","246","270","335","329","341","0.42"
"J","ps","1","2008","320","265","357","227","183","276","366","366","366","0.67"
"J","ps","1","2009","300","195","350","197","183","287","351","331","366","0.35"
"J","ps","1","2010","286","260","334","228","183","267","352","322","366","0.57"
"J","ps","1","2011","304","245","348","249","207","283","363","353","366","0.55"
"J","ps","1","2012","319","312","327","294","287","303","340","335","345","0.24"
"J","ps","1","2013","291","275","308","270","248","301","364","366","366","0.31"
"J","ps","1","2014","319","306","339","285","235","311","355","335","366","0.31"
"J","ps","1","2015","280","198","322","207","183","304","268","198","358","0.24"
"J","ps","1","2016","296","288","304","273","266","280","326","314","339","0.29"
"J","ps","1","2017","285","275","294","260","252","272","321","299","348","0.31"
