"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl"
"J","ps","1","1978","213","204","220","225","195","351","240","208","366"
"J","ps","1","1979","277","248","307","305","183","363","326","212","366"
"J","ps","1","1980","276","247","308","244","183","364","256","185","366"
"J","ps","1","1981","241","224","259","251","183","345","274","190","366"
"J","ps","1","1982","288","268","313","269","253","292","302","281","324"
"J","ps","1","1983","279","244","315","315","221","361","341","260","366"
"J","ps","1","1984","276","238","312","263","183","353","314","213","366"
"J","ps","1","1985","205","188","230","183","183","183","234","204","366"
"J","ps","1","1986","273","240","304","217","183","286","259","193","333"
"J","ps","1","1987","338","325","355","311","291","338","363","354","366"
"J","ps","1","1988","323","296","354","278","253","309","362","345","366"
"J","ps","1","1989","279","266","294","262","249","275","296","281","313"
"J","ps","1","1990","245","210","270","196","183","238","269","247","366"
"J","ps","1","1991","271","255","286","248","222","272","289","275","305"
"J","ps","1","1992","299","276","321","265","218","297","332","306","366"
"J","ps","1","1993","340","327","362","250","183","346","365","366","366"
"J","ps","1","1994","328","283","359","224","183","299","366","366","366"
"J","ps","1","1995","314","235","356","195","183","244","366","366","366"
"J","ps","1","1996","271","222","317","212","183","279","325","254","366"
"J","ps","1","1997","218","190","250","185","183","183","365","366","366"
"J","ps","1","1998","313","268","353","221","183","276","365","366","366"
"J","ps","1","1999","297","238","344","213","183","280","362","346","366"
"J","ps","1","2000","273","216","311","208","183","265","345","332","366"
"J","ps","1","2001","274","211","315","218","183","283","325","306","345"
"J","ps","1","2002","254","203","294","195","183","239","336","308","366"
"J","ps","1","2003","313","295","331","257","183","283","359","347","366"
"J","ps","1","2004","274","215","337","223","183","268","341","308","361"
"J","ps","1","2005","334","319","356","272","183","304","364","359","366"
"J","ps","1","2006","295","283","309","273","259","288","318","302","331"
"J","ps","1","2007","298","287","309","257","245","270","335","330","341"
"J","ps","1","2008","315","232","358","231","183","304","366","366","366"
"J","ps","1","2009","297","194","348","197","183","280","351","331","366"
"J","ps","1","2010","286","258","332","229","183","268","352","322","366"
"J","ps","1","2011","303","244","348","248","205","282","363","352","366"
"J","ps","1","2012","320","312","327","294","286","304","340","335","345"
"J","ps","1","2013","291","274","306","271","248","309","364","366","366"
"J","ps","1","2014","320","309","337","288","254","311","354","335","366"
"J","ps","1","2015","280","199","324","210","183","306","271","197","366"
"J","ps","1","2016","296","288","304","273","266","280","326","314","339"
"J","ps","1","2017","285","275","295","261","253","273","321","299","348"
