"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","uss","2","1978","179","166","193","111","92","135","301","303","303","0.47"
"J","uss","2","1979","148","101","282","92","92","92","303","303","303","0.68"
"J","uss","2","1980","159","138","184","99","92","110","284","266","303","0.53"
"J","uss","2","1981","156","143","168","98","92","110","298","286","303","0.59"
"J","uss","2","1982","163","155","170","118","92","132","256","238","279","0.4"
"J","uss","2","1983","197","186","208","116","92","144","267","243","282","0.4"
"J","uss","2","1984","211","174","269","156","148","164","292","279","303","0.32"
"J","uss","2","1985","217","125","268","100","92","119","293","272","303","0.51"
"J","uss","2","1986","208","151","253","126","112","138","269","260","279","0.36"
"J","uss","2","1987","188","163","218","131","125","139","282","270","303","0.47"
"J","uss","2","1988","143","123","157","94","92","100","301","296","303","0.66"
"J","uss","2","1989","159","118","232","95","92","100","269","259","279","0.55"
"J","uss","2","1990","119","101","141","92","92","92","272","264","279","0.74"
"J","uss","2","1991","165","123","193","107","92","134","231","221","239","0.54"
"J","uss","2","1992","267","246","291","205","92","239","300","295","303","0.34"
"J","uss","2","1993","261","240","292","92","92","92","302","303","303","0.71"
"J","uss","2","1994","134","123","139","97","92","104","292","275","303","0.62"
"J","uss","2","1995","150","103","269","92","92","92","302","303","303","0.74"
"J","uss","2","1996","113","100","128","92","92","92","277","264","303","0.64"
"J","uss","2","1997","112","102","124","92","92","92","303","303","303","0.7"
"J","uss","2","1998","242","124","286","92","92","92","301","301","303","0.88"
"J","uss","2","1999","177","130","239","97","92","102","279","271","288","0.78"
"J","uss","2","2000","116","101","132","92","92","92","297","282","303","0.72"
"J","uss","2","2001","120","102","133","92","92","92","292","285","303","0.85"
"J","uss","2","2002","141","110","174","92","92","92","297","288","303","0.91"
"J","uss","2","2003","131","106","153","92","92","92","303","303","303","0.92"
"J","uss","2","2004","155","109","199","92","92","92","303","303","303","0.97"
"J","uss","2","2005","278","279","298","92","92","92","303","303","303","0.99"
"J","uss","2","2006","186","126","252","96","92","104","302","300","303","0.94"
"J","uss","2","2007","221","113","292","92","92","92","303","303","303","0.98"
"J","uss","2","2008","117","98","140","92","92","92","292","288","296","0.89"
"J","uss","2","2009","241","235","261","94","92","99","296","292","300","0.85"
"J","uss","2","2010","202","186","217","119","92","131","302","301","303","0.78"
"J","uss","2","2011","213","185","249","98","92","109","303","303","303","0.85"
"J","uss","2","2012","186","174","197","100","92","109","303","303","303","0.78"
"J","uss","2","2013","235","137","290","110","92","123","303","303","303","0.64"
"J","uss","2","2014","234","203","270","130","123","137","303","303","303","0.8"
"J","uss","2","2015","216","200","233","92","92","92","301","297","303","0.86"
"J","uss","2","2016","231","212","256","92","92","92","302","302","303","0.72"
"J","uss","2","2017","247","104","298","92","92","92","303","303","303","0.63"
