"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","uss","2","1978","179","171","187","123","92","141","294","303","303","0.47"
"J","uss","2","1979","145","108","156","93","92","92","303","303","303","0.67"
"J","uss","2","1980","158","144","162","109","92","121","256","237","271","0.53"
"J","uss","2","1981","156","148","162","106","92","116","279","258","303","0.59"
"J","uss","2","1982","163","158","167","130","128","138","224","199","239","0.4"
"J","uss","2","1983","197","192","204","145","121","170","236","223","244","0.4"
"J","uss","2","1984","212","177","259","167","160","170","275","269","294","0.32"
"J","uss","2","1985","220","214","248","119","92","135","284","266","303","0.5"
"J","uss","2","1986","208","168","248","153","135","162","251","251","263","0.35"
"J","uss","2","1987","188","169","203","142","139","146","266","256","274","0.47"
"J","uss","2","1988","143","130","148","98","92","103","295","297","303","0.65"
"J","uss","2","1989","160","123","222","100","92","105","258","251","264","0.55"
"J","uss","2","1990","122","108","133","92","92","92","264","260","267","0.74"
"J","uss","2","1991","174","167","185","121","92","136","226","220","230","0.49"
"J","uss","2","1992","270","256","285","208","212","237","301","303","303","0.38"
"J","uss","2","1993","265","263","291","93","92","92","303","303","303","0.76"
"J","uss","2","1994","133","127","136","100","92","105","282","269","303","0.63"
"J","uss","2","1995","153","107","223","92","92","92","301","303","303","0.76"
"J","uss","2","1996","114","104","123","92","92","92","265","256","267","0.64"
"J","uss","2","1997","113","104","120","92","92","92","302","303","303","0.7"
"J","uss","2","1998","244","242","277","93","92","92","301","303","303","0.88"
"J","uss","2","1999","178","135","232","100","97","103","275","270","278","0.78"
"J","uss","2","2000","116","105","124","92","92","92","283","277","303","0.72"
"J","uss","2","2001","118","105","124","92","92","92","285","280","289","0.85"
"J","uss","2","2002","134","112","152","92","92","92","291","284","301","0.91"
"J","uss","2","2003","133","113","146","92","92","92","302","303","303","0.92"
"J","uss","2","2004","145","117","167","92","92","92","302","303","303","0.97"
"J","uss","2","2005","251","248","282","92","92","92","303","303","303","0.99"
"J","uss","2","2006","196","151","243","102","98","107","300","298","303","0.92"
"J","uss","2","2007","243","216","285","92","92","92","303","303","303","0.98"
"J","uss","2","2008","121","106","134","92","92","92","287","285","289","0.89"
"J","uss","2","2009","243","245","257","95","92","92","293","291","295","0.85"
"J","uss","2","2010","201","192","209","127","123","136","301","302","303","0.78"
"J","uss","2","2011","213","193","231","107","92","117","302","303","303","0.85"
"J","uss","2","2012","185","179","192","110","104","117","302","303","303","0.78"
"J","uss","2","2013","234","147","280","118","110","125","302","303","303","0.62"
"J","uss","2","2014","245","217","273","134","130","139","303","303","303","0.8"
"J","uss","2","2015","216","206","225","92","92","92","298","293","303","0.86"
"J","uss","2","2016","231","217","242","95","92","92","301","299","303","0.72"
"J","uss","2","2017","225","108","293","93","92","92","303","303","303","0.64"
