"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"K","ps","1","1978","217","213","220","240","208","220","252","217","229","0.04"
"K","ps","1","1979","269","252","284","288","236","351","306","258","366","0.02"
"K","ps","1","1980","293","276","309","289","183","352","305","202","366","0.01"
"K","ps","1","1981","218","203","224","198","183","183","248","197","366","0.09"
"K","ps","1","1982","280","270","288","262","256","271","294","284","305","0.14"
"K","ps","1","1983","272","257","285","310","269","353","334","296","366","0.01"
"K","ps","1","1984","268","248","285","268","183","345","306","249","366","0.03"
"K","ps","1","1985","233","197","259","184","183","183","257","204","366","0.24"
"K","ps","1","1986","267","252","282","213","183","246","253","211","291","0.06"
"K","ps","1","1987","266","247","283","246","199","301","287","252","366","0.05"
"K","ps","1","1988","279","258","298","272","248","308","341","341","366","0.16"
"K","ps","1","1989","269","264","274","256","249","263","282","277","285","0.14"
"K","ps","1","1990","249","237","266","205","183","230","274","263","286","0.31"
"K","ps","1","1991","276","270","282","258","250","268","294","287","301","0.18"
"K","ps","1","1992","274","259","289","255","183","319","311","260","366","0.05"
"K","ps","1","1993","271","252","289","209","183","224","260","221","285","0.08"
"K","ps","1","1994","272","251","294","194","183","183","242","218","254","0.1"
"K","ps","1","1995","285","263","313","204","183","183","252","217","253","0.09"
"K","ps","1","1996","270","247","292","213","183","239","323","286","366","0.41"
"K","ps","1","1997","302","260","344","237","183","298","362","366","366","0.47"
"K","ps","1","1998","289","281","308","229","183","262","344","335","349","0.61"
"K","ps","1","1999","310","291","345","209","183","243","365","366","366","0.79"
"K","ps","1","2000","274","230","312","209","183","235","364","366","366","0.67"
"K","ps","1","2001","271","235","312","206","183","225","330","319","357","0.59"
"K","ps","1","2002","304","285","325","271","259","301","328","324","341","0.26"
"K","ps","1","2003","312","305","321","266","260","278","354","352","356","0.46"
"K","ps","1","2004","268","228","299","197","183","183","366","366","366","0.84"
"K","ps","1","2005","290","265","320","218","183","242","286","262","320","0.23"
"K","ps","1","2006","344","336","353","306","299","315","366","366","366","0.32"
"K","ps","1","2007","342","353","359","278","183","339","366","366","366","0.27"
"K","ps","1","2008","280","272","290","239","183","268","313","297","333","0.36"
"K","ps","1","2009","328","320","339","308","295","325","345","341","350","0.19"
"K","ps","1","2010","289","269","315","230","183","259","354","342","366","0.54"
"K","ps","1","2011","296","250","338","241","215","264","364","366","366","0.56"
"K","ps","1","2012","334","327","341","297","299","310","364","362","366","0.33"
"K","ps","1","2013","294","285","299","272","264","286","362","366","366","0.29"
"K","ps","1","2014","328","326","336","293","292","308","351","348","355","0.29"
"K","ps","1","2015","298","302","337","226","183","302","357","366","366","0.29"
"K","ps","1","2016","294","291","297","274","272","278","363","366","366","0.27"
"K","ps","1","2017","337","332","345","306","303","315","363","360","366","0.25"
