"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"K","ps","1","1978","217","210","224","209","199","216","232","218","235","0.04"
"K","ps","1","1979","281","253","311","267","183","357","299","204","366","0.01"
"K","ps","1","1980","281","248","315","237","183","348","283","190","366","0.01"
"K","ps","1","1981","221","195","244","194","183","205","263","200","366","0.12"
"K","ps","1","1982","281","266","294","256","243","268","308","289","324","0.14"
"K","ps","1","1983","286","258","319","308","246","357","333","273","366","0.02"
"K","ps","1","1984","266","237","295","253","183","344","304","248","366","0.06"
"K","ps","1","1985","225","191","278","184","183","183","270","205","366","0.25"
"K","ps","1","1986","273","236","306","220","183","284","261","197","349","0.04"
"K","ps","1","1987","277","246","308","258","194","348","288","248","366","0.02"
"K","ps","1","1988","281","245","321","271","183","327","338","275","366","0.13"
"K","ps","1","1989","269","262","277","250","241","261","290","282","298","0.13"
"K","ps","1","1990","255","221","280","207","183","251","298","266","366","0.37"
"K","ps","1","1991","272","259","284","247","225","265","296","286","308","0.2"
"K","ps","1","1992","271","237","305","234","183","333","292","202","366","0.07"
"K","ps","1","1993","272","234","314","221","183","311","298","219","366","0.14"
"K","ps","1","1994","273","232","309","206","183","266","260","211","310","0.09"
"K","ps","1","1995","274","229","312","203","183","273","250","205","312","0.09"
"K","ps","1","1996","267","219","309","210","183","263","320","258","366","0.4"
"K","ps","1","1997","288","204","349","219","183","285","365","366","366","0.47"
"K","ps","1","1998","292","272","311","237","183","268","343","333","352","0.53"
"K","ps","1","1999","298","251","343","210","183","266","362","349","366","0.77"
"K","ps","1","2000","270","208","324","203","183","256","366","366","366","0.67"
"K","ps","1","2001","267","207","321","202","183","248","354","337","366","0.56"
"K","ps","1","2002","305","276","330","257","217","289","342","335","350","0.27"
"K","ps","1","2003","312","298","327","259","246","276","359","355","364","0.47"
"K","ps","1","2004","265","211","296","201","183","247","366","366","366","0.83"
"K","ps","1","2005","297","248","330","262","183","313","329","295","366","0.15"
"K","ps","1","2006","345","331","358","288","270","305","366","366","366","0.34"
"K","ps","1","2007","358","352","364","253","183","330","366","366","366","0.28"
"K","ps","1","2008","282","265","301","242","183","270","345","323","366","0.31"
"K","ps","1","2009","327","306","341","282","267","300","355","348","366","0.2"
"K","ps","1","2010","287","261","337","222","183","257","359","338","366","0.55"
"K","ps","1","2011","302","244","351","235","201","264","365","365","366","0.53"
"K","ps","1","2012","333","323","346","263","221","298","366","366","366","0.33"
"K","ps","1","2013","294","280","304","256","242","276","366","366","366","0.28"
"K","ps","1","2014","327","320","339","271","232","297","358","352","366","0.3"
"K","ps","1","2015","298","198","354","195","183","208","366","366","366","0.29"
"K","ps","1","2016","294","289","300","261","258","273","366","366","366","0.28"
"K","ps","1","2017","337","325","349","290","285","305","366","366","366","0.26"
