"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"K","uss","2","1978","210","202","217","186","186","191","301","303","303","0.21"
"K","uss","2","1979","191","186","191","170","172","178","299","303","303","0.21"
"K","uss","2","1980","212","205","215","187","179","196","275","228","303","0.2"
"K","uss","2","1981","214","203","221","148","92","192","248","228","262","0.25"
"K","uss","2","1982","240","235","247","228","224","235","256","247","261","0.13"
"K","uss","2","1983","199","193","204","139","92","169","252","229","267","0.32"
"K","uss","2","1984","209","181","219","163","162","167","300","302","303","0.36"
"K","uss","2","1985","183","174","184","154","153","157","278","243","303","0.37"
"K","uss","2","1986","170","163","171","148","147","150","284","267","303","0.39"
"K","uss","2","1987","192","179","197","152","152","156","297","291","303","0.52"
"K","uss","2","1988","180","173","180","154","153","156","302","303","303","0.45"
"K","uss","2","1989","176","165","173","145","143","150","269","218","303","0.32"
"K","uss","2","1990","195","187","195","143","119","169","274","270","278","0.42"
"K","uss","2","1991","177","171","183","137","136","141","221","216","223","0.38"
"K","uss","2","1992","250","242","263","169","136","220","290","276","303","0.43"
"K","uss","2","1993","245","240","261","110","92","113","292","277","303","0.55"
"K","uss","2","1994","179","174","182","155","153","157","254","226","274","0.32"
"K","uss","2","1995","210","158","239","139","137","141","265","261","268","0.47"
"K","uss","2","1996","174","170","177","151","150","153","268","259","268","0.39"
"K","uss","2","1997","191","153","278","133","132","136","303","303","303","0.64"
"K","uss","2","1998","252","252","272","147","146","149","297","289","303","0.61"
"K","uss","2","1999","232","225","239","166","164","167","274","268","276","0.43"
"K","uss","2","2000","184","181","186","164","163","166","264","261","278","0.31"
"K","uss","2","2001","187","162","216","137","135","138","288","284","292","0.64"
"K","uss","2","2002","194","169","224","140","140","143","286","278","293","0.64"
"K","uss","2","2003","205","190","217","152","152","154","300","301","303","0.63"
"K","uss","2","2004","226","220","231","186","186","189","302","303","303","0.52"
"K","uss","2","2005","252","246","258","148","149","153","294","291","296","0.57"
"K","uss","2","2006","227","216","239","159","158","164","288","279","303","0.53"
"K","uss","2","2007","257","219","291","181","181","185","303","303","303","0.47"
"K","uss","2","2008","277","279","292","164","162","167","303","303","303","0.57"
"K","uss","2","2009","242","216","269","118","115","125","297","295","300","0.72"
"K","uss","2","2010","273","270","289","104","92","92","303","303","303","0.69"
"K","uss","2","2011","208","193","213","166","165","167","303","303","303","0.61"
"K","uss","2","2012","264","255","278","100","92","104","303","303","303","0.57"
"K","uss","2","2013","254","246","260","192","187","196","302","303","303","0.41"
"K","uss","2","2014","232","203","273","138","92","180","303","303","303","0.55"
"K","uss","2","2015","214","202","221","161","160","162","300","298","303","0.63"
"K","uss","2","2016","269","260","279","162","148","157","302","303","303","0.43"
"K","uss","2","2017","186","178","183","172","169","174","212","188","248","0.13"
