"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"K","uss","2","1978","210","198","221","192","185","203","300","303","303","0.2"
"K","uss","2","1979","191","183","195","178","171","186","297","303","303","0.21"
"K","uss","2","1980","212","187","220","201","179","214","267","215","303","0.2"
"K","uss","2","1981","213","197","254","161","92","210","230","208","263","0.25"
"K","uss","2","1982","240","229","253","234","223","247","253","239","268","0.13"
"K","uss","2","1983","199","187","209","145","92","178","237","217","267","0.32"
"K","uss","2","1984","210","178","289","165","161","172","297","288","303","0.36"
"K","uss","2","1985","183","170","191","156","153","161","271","221","303","0.37"
"K","uss","2","1986","170","161","177","150","146","153","275","215","303","0.39"
"K","uss","2","1987","191","174","208","155","153","160","295","279","303","0.52"
"K","uss","2","1988","180","170","184","156","154","158","301","303","303","0.45"
"K","uss","2","1989","176","162","192","150","143","156","255","197","303","0.33"
"K","uss","2","1990","195","184","202","154","117","173","269","258","280","0.42"
"K","uss","2","1991","177","165","189","138","132","144","219","212","226","0.38"
"K","uss","2","1992","244","172","285","153","92","235","292","260","303","0.55"
"K","uss","2","1993","240","227","264","135","92","214","279","260","303","0.46"
"K","uss","2","1994","179","171","186","157","154","161","239","201","303","0.32"
"K","uss","2","1995","210","154","244","140","136","143","262","254","269","0.47"
"K","uss","2","1996","174","167","179","152","149","155","262","247","303","0.39"
"K","uss","2","1997","192","150","293","135","131","139","303","303","303","0.64"
"K","uss","2","1998","253","190","286","148","146","152","297","282","303","0.61"
"K","uss","2","1999","231","215","249","168","164","172","271","263","281","0.43"
"K","uss","2","2000","184","178","190","166","163","169","248","212","281","0.31"
"K","uss","2","2001","188","158","229","138","135","141","285","278","293","0.64"
"K","uss","2","2002","192","165","234","143","140","146","283","273","303","0.64"
"K","uss","2","2003","203","180","227","154","152","157","298","282","303","0.63"
"K","uss","2","2004","226","216","238","188","187","191","302","297","303","0.52"
"K","uss","2","2005","252","241","263","151","150","156","292","288","297","0.57"
"K","uss","2","2006","228","201","250","164","159","171","284","274","303","0.53"
"K","uss","2","2007","256","212","295","185","182","190","303","303","303","0.47"
"K","uss","2","2008","273","195","296","167","162","171","303","303","303","0.57"
"K","uss","2","2009","242","202","277","121","104","130","296","291","302","0.72"
"K","uss","2","2010","272","234","292","110","92","158","303","303","303","0.69"
"K","uss","2","2011","210","189","253","167","165","170","302","299","303","0.61"
"K","uss","2","2012","263","238","287","110","92","153","302","303","303","0.58"
"K","uss","2","2013","255","240","276","202","188","224","301","294","303","0.41"
"K","uss","2","2014","233","199","284","148","92","184","302","300","303","0.55"
"K","uss","2","2015","214","195","235","162","160","165","299","292","303","0.63"
"K","uss","2","2016","270","248","289","179","148","222","302","299","303","0.44"
"K","uss","2","2017","186","176","195","175","168","178","201","182","248","0.13"
