"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"L","ps","1","1978","218","207","228","207","183","217","232","213","240","0.04"
"L","ps","1","1979","276","246","305","277","183","358","304","256","366","0.01"
"L","ps","1","1980","270","240","301","247","183","349","268","191","366","0.01"
"L","ps","1","1981","229","217","240","214","196","226","244","227","257","0.06"
"L","ps","1","1982","282","270","294","256","243","270","308","293","322","0.14"
"L","ps","1","1983","278","248","309","280","183","351","324","254","366","0.03"
"L","ps","1","1984","272","244","301","270","183","346","312","238","366","0.03"
"L","ps","1","1985","231","199","261","188","183","196","263","203","366","0.21"
"L","ps","1","1986","277","249","304","230","183","281","271","201","339","0.04"
"L","ps","1","1987","266","234","302","238","184","296","281","246","339","0.03"
"L","ps","1","1988","275","249","302","227","183","258","323","286","366","0.45"
"L","ps","1","1989","274","243","306","228","183","302","260","192","366","0.01"
"L","ps","1","1990","274","241","309","213","183","319","279","208","366","0.07"
"L","ps","1","1991","275","250","302","255","183","351","284","202","366","0.01"
"L","ps","1","1992","274","247","303","247","183","327","301","208","366","0.05"
"L","ps","1","1993","271","235","304","213","183","280","277","212","366","0.08"
"L","ps","1","1994","269","234","300","204","183","261","265","217","364","0.1"
"L","ps","1","1995","265","236","292","197","183","234","251","214","292","0.07"
"L","ps","1","1996","274","233","313","210","183","263","329","270","366","0.43"
"L","ps","1","1997","307","303","314","268","235","284","341","329","366","0.31"
"L","ps","1","1998","265","236","288","223","183","265","298","285","312","0.31"
"L","ps","1","1999","300","221","349","217","183","318","364","366","366","0.55"
"L","ps","1","2000","249","197","341","188","183","183","365","366","366","0.54"
"L","ps","1","2001","310","291","333","224","183","272","364","360","366","0.62"
"L","ps","1","2002","299","282","316","244","183","273","352","341","366","0.4"
"L","ps","1","2003","285","277","293","254","242","268","315","310","320","0.27"
"L","ps","1","2004","271","257","283","233","189","253","307","298","315","0.35"
"L","ps","1","2005","286","270","299","260","224","284","311","305","318","0.17"
"L","ps","1","2006","334","318","354","284","265","302","365","366","366","0.35"
"L","ps","1","2007","341","334","354","298","201","334","363","358","366","0.14"
"L","ps","1","2008","292","267","313","219","183","260","356","344","366","0.69"
"L","ps","1","2009","313","296","330","287","271","306","341","326","364","0.12"
"L","ps","1","2010","278","268","289","235","183","259","324","312","339","0.35"
"L","ps","1","2011","294","283","306","275","258","293","310","299","323","0.08"
"L","ps","1","2012","294","280","305","263","249","278","324","311","336","0.16"
"L","ps","1","2013","274","267","281","249","238","260","300","294","306","0.17"
"L","ps","1","2014","308","291","324","280","255","300","336","327","345","0.14"
"L","ps","1","2015","290","272","306","265","249","285","313","304","323","0.11"
"L","ps","1","2016","274","262","286","259","245","274","284","273","296","0.04"
"L","ps","1","2017","297","286","309","250","230","268","350","339","366","0.29"
