"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"L","ps","1","1978","217","202","230","206","183","341","219","184","366","0.04"
"L","ps","1","1979","279","239","319","273","183","361","307","198","366","0.01"
"L","ps","1","1980","282","247","322","218","183","360","255","188","366","0.01"
"L","ps","1","1981","228","212","243","220","183","237","239","191","258","0.05"
"L","ps","1","1982","284","272","294","267","255","280","300","288","311","0.14"
"L","ps","1","1983","276","240","314","284","183","361","321","219","366","0.02"
"L","ps","1","1984","276","244","308","254","183","353","315","236","366","0.05"
"L","ps","1","1985","230","196","263","188","183","202","250","193","366","0.18"
"L","ps","1","1986","274","241","309","219","183","278","251","192","330","0.03"
"L","ps","1","1987","268","235","302","235","183","332","277","238","366","0.04"
"L","ps","1","1988","273","245","303","226","183","262","320","278","366","0.46"
"L","ps","1","1989","276","237","315","220","183","312","252","189","366","0.01"
"L","ps","1","1990","270","232","301","204","183","266","283","201","366","0.09"
"L","ps","1","1991","277","234","319","244","183","360","273","189","366","0.02"
"L","ps","1","1992","275","239","314","247","183","346","300","203","366","0.05"
"L","ps","1","1993","272","233","309","205","183","276","268","204","366","0.09"
"L","ps","1","1994","269","231","303","193","183","231","243","202","287","0.07"
"L","ps","1","1995","270","231","303","188","183","183","235","199","257","0.06"
"L","ps","1","1996","271","229","310","210","183","273","325","254","366","0.42"
"L","ps","1","1997","308","302","315","279","275","290","336","324","366","0.29"
"L","ps","1","1998","270","243","293","224","183","267","300","278","348","0.32"
"L","ps","1","1999","317","269","356","221","183","341","360","362","366","0.51"
"L","ps","1","2000","279","202","350","186","183","183","363","366","366","0.55"
"L","ps","1","2001","308","272","336","233","183","306","352","323","366","0.55"
"L","ps","1","2002","299","280","317","257","183","293","330","311","346","0.37"
"L","ps","1","2003","284","277","291","259","245","273","309","304","315","0.27"
"L","ps","1","2004","273","262","282","245","222","260","301","291","312","0.3"
"L","ps","1","2005","286","266","300","258","191","289","301","292","310","0.18"
"L","ps","1","2006","333","316","354","301","276","323","362","348","366","0.32"
"L","ps","1","2007","343","332","357","314","183","361","349","339","366","0.13"
"L","ps","1","2008","287","258","309","227","183","266","346","336","362","0.64"
"L","ps","1","2009","314","300","329","301","284","316","325","311","337","0.12"
"L","ps","1","2010","279","266","290","243","183","268","311","300","318","0.34"
"L","ps","1","2011","294","282","306","280","264","296","302","290","315","0.08"
"L","ps","1","2012","295","282","306","280","264","294","309","297","321","0.16"
"L","ps","1","2013","275","267","283","258","245","270","292","283","300","0.16"
"L","ps","1","2014","310","298","321","295","279","309","319","310","329","0.13"
"L","ps","1","2015","290","280","302","276","264","287","298","289","307","0.11"
"L","ps","1","2016","274","259","289","260","245","278","278","266","294","0.04"
"L","ps","1","2017","300","288","311","273","259","291","324","311","337","0.28"
