"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl"
"L","ps","1","1978","218","202","231","230","183","360","247","184","366"
"L","ps","1","1979","276","240","315","283","183","363","304","190","366"
"L","ps","1","1980","275","246","299","220","183","359","256","187","366"
"L","ps","1","1981","229","213","243","219","183","234","237","191","252"
"L","ps","1","1982","284","271","294","268","256","280","300","288","311"
"L","ps","1","1983","281","250","313","305","183","359","343","272","366"
"L","ps","1","1984","276","243","311","281","183","355","321","222","366"
"L","ps","1","1985","237","198","272","188","183","198","265","193","366"
"L","ps","1","1986","282","250","312","214","183","282","259","195","366"
"L","ps","1","1987","271","241","306","226","183","274","292","220","366"
"L","ps","1","1988","274","246","306","225","183","263","322","279","366"
"L","ps","1","1989","274","235","314","219","183","356","244","189","366"
"L","ps","1","1990","273","234","308","200","183","253","259","198","366"
"L","ps","1","1991","281","242","322","231","183","350","263","188","366"
"L","ps","1","1992","271","241","309","250","183","337","286","199","366"
"L","ps","1","1993","272","236","307","203","183","257","269","201","366"
"L","ps","1","1994","272","233","305","193","183","231","248","203","298"
"L","ps","1","1995","271","232","307","191","183","185","236","199","261"
"L","ps","1","1996","271","228","310","210","183","273","324","253","366"
"L","ps","1","1997","304","283","314","266","183","290","340","324","366"
"L","ps","1","1998","265","232","289","218","183","264","293","278","311"
"L","ps","1","1999","313","270","353","218","183","334","361","366","366"
"L","ps","1","2000","286","202","350","185","183","183","363","366","366"
"L","ps","1","2001","310","279","338","247","183","310","347","316","366"
"L","ps","1","2002","299","280","318","253","183","293","328","309","346"
"L","ps","1","2003","282","272","291","255","234","271","310","304","316"
"L","ps","1","2004","275","266","284","248","232","260","302","291","312"
"L","ps","1","2005","288","274","299","268","238","290","301","292","309"
"L","ps","1","2006","334","316","355","295","263","323","363","352","366"
"L","ps","1","2007","344","332","358","316","183","361","349","339","366"
"L","ps","1","2008","292","263","312","229","183","268","350","337","366"
"L","ps","1","2009","314","300","329","301","284","318","324","310","339"
"L","ps","1","2010","279","267","291","245","183","269","310","300","317"
"L","ps","1","2011","292","277","307","275","248","295","300","285","314"
"L","ps","1","2012","294","281","305","279","264","293","309","296","322"
"L","ps","1","2013","275","268","282","257","246","268","293","284","299"
"L","ps","1","2014","309","296","322","294","277","309","319","308","329"
"L","ps","1","2015","290","279","302","276","263","287","298","288","308"
"L","ps","1","2016","277","262","294","260","246","278","279","266","295"
"L","ps","1","2017","300","288","311","273","258","291","324","310","337"
