"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"L","uss","2","1978","213","207","217","205","192","203","298","303","303","0.23"
"L","uss","2","1979","204","197","207","218","189","288","259","212","303","0.17"
"L","uss","2","1980","253","224","278","264","254","286","289","283","303","0.2"
"L","uss","2","1981","245","227","261","204","199","235","264","259","277","0.28"
"L","uss","2","1982","230","224","237","220","212","227","242","236","247","0.13"
"L","uss","2","1983","241","224","259","207","184","234","265","263","274","0.27"
"L","uss","2","1984","216","202","216","202","188","202","270","224","303","0.25"
"L","uss","2","1985","218","210","226","208","195","215","246","228","246","0.19"
"L","uss","2","1986","249","244","265","251","247","263","277","265","303","0.21"
"L","uss","2","1987","220","201","238","219","194","236","242","217","264","0.2"
"L","uss","2","1988","219","194","239","209","181","236","293","303","303","0.32"
"L","uss","2","1989","198","187","214","213","191","218","231","208","277","0.18"
"L","uss","2","1990","198","185","205","163","156","171","255","222","303","0.37"
"L","uss","2","1991","202","198","206","182","175","188","222","215","227","0.18"
"L","uss","2","1992","257","238","278","172","170","182","300","303","303","0.59"
"L","uss","2","1993","229","216","242","163","161","165","288","274","303","0.58"
"L","uss","2","1994","219","202","236","158","154","160","276","264","289","0.45"
"L","uss","2","1995","184","176","186","155","152","158","240","227","250","0.36"
"L","uss","2","1996","233","223","240","194","190","198","274","266","277","0.35"
"L","uss","2","1997","186","176","190","153","151","155","272","257","299","0.47"
"L","uss","2","1998","236","229","244","153","151","155","283","279","285","0.59"
"L","uss","2","1999","261","247","277","175","173","177","302","303","303","0.57"
"L","uss","2","2000","222","197","250","162","160","164","284","277","290","0.5"
"L","uss","2","2001","234","214","254","153","151","155","302","303","303","0.68"
"L","uss","2","2002","237","227","248","142","139","145","295","289","303","0.71"
"L","uss","2","2003","225","199","251","155","154","157","301","303","303","0.66"
"L","uss","2","2004","268","254","285","166","163","170","303","303","303","0.66"
"L","uss","2","2005","265","250","280","151","146","153","303","303","303","0.62"
"L","uss","2","2006","243","238","249","158","155","163","281","278","284","0.54"
"L","uss","2","2007","264","261","287","161","159","163","303","303","303","0.56"
"L","uss","2","2008","228","206","249","162","160","163","302","303","303","0.64"
"L","uss","2","2009","242","228","258","153","151","158","302","303","303","0.67"
"L","uss","2","2010","256","236","277","136","132","142","303","303","303","0.75"
"L","uss","2","2011","220","204","232","131","92","154","285","283","288","0.62"
"L","uss","2","2012","224","193","276","151","148","157","303","303","303","0.62"
"L","uss","2","2013","215","206","223","151","149","152","290","286","293","0.65"
"L","uss","2","2014","191","184","195","159","157","162","301","303","303","0.51"
"L","uss","2","2015","271","258","285","140","140","148","303","303","303","0.75"
"L","uss","2","2016","229","213","245","173","164","182","291","282","303","0.45"
"L","uss","2","2017","244","233","254","182","170","193","298","294","303","0.49"
