"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"L","uss","2","1978","213","203","221","190","185","199","300","303","303","0.23"
"L","uss","2","1979","204","193","213","196","180","209","259","210","303","0.17"
"L","uss","2","1980","255","212","285","240","195","281","288","266","303","0.2"
"L","uss","2","1981","246","216","267","186","92","226","276","263","289","0.28"
"L","uss","2","1982","230","218","241","214","200","229","245","234","255","0.13"
"L","uss","2","1983","241","196","263","186","172","204","274","266","284","0.27"
"L","uss","2","1984","216","197","256","187","178","196","279","226","303","0.25"
"L","uss","2","1985","218","203","230","193","181","209","250","229","303","0.19"
"L","uss","2","1986","249","210","271","231","180","258","273","256","303","0.21"
"L","uss","2","1987","220","187","253","201","174","234","246","213","283","0.2"
"L","uss","2","1988","219","187","278","178","165","194","295","288","303","0.32"
"L","uss","2","1989","196","154","220","188","146","212","219","176","247","0.18"
"L","uss","2","1990","198","176","212","152","137","166","273","230","303","0.37"
"L","uss","2","1991","202","194","210","181","171","192","222","212","232","0.16"
"L","uss","2","1992","257","227","287","168","160","182","300","295","303","0.57"
"L","uss","2","1993","226","209","250","161","158","164","288","269","303","0.56"
"L","uss","2","1994","220","185","246","154","149","158","281","265","303","0.46"
"L","uss","2","1995","183","174","192","150","145","156","250","231","268","0.36"
"L","uss","2","1996","233","219","248","187","180","195","279","267","303","0.35"
"L","uss","2","1997","185","174","199","151","147","154","280","261","303","0.47"
"L","uss","2","1998","236","222","249","150","146","153","285","280","292","0.59"
"L","uss","2","1999","261","238","285","172","168","175","302","303","303","0.57"
"L","uss","2","2000","223","190","261","159","155","162","288","278","303","0.51"
"L","uss","2","2001","233","200","265","150","147","154","302","300","303","0.68"
"L","uss","2","2002","243","221","268","138","133","143","300","291","303","0.74"
"L","uss","2","2003","226","192","266","153","150","156","302","298","303","0.66"
"L","uss","2","2004","267","245","290","160","153","166","303","303","303","0.66"
"L","uss","2","2005","267","240","291","146","141","150","303","303","303","0.63"
"L","uss","2","2006","243","234","252","150","143","159","284","279","289","0.54"
"L","uss","2","2007","267","222","292","157","154","161","303","303","303","0.57"
"L","uss","2","2008","226","199","260","159","156","162","303","303","303","0.64"
"L","uss","2","2009","245","219","271","149","144","156","303","303","303","0.68"
"L","uss","2","2010","256","224","285","133","125","142","303","303","303","0.75"
"L","uss","2","2011","219","198","254","122","92","151","288","284","292","0.62"
"L","uss","2","2012","227","190","289","143","132","154","303","303","303","0.63"
"L","uss","2","2013","215","201","228","150","147","152","292","287","298","0.66"
"L","uss","2","2014","190","181","198","156","151","161","302","303","303","0.51"
"L","uss","2","2015","273","253","294","132","108","145","303","303","303","0.75"
"L","uss","2","2016","229","206","254","164","155","176","297","285","303","0.45"
"L","uss","2","2017","244","227","262","170","155","188","301","295","303","0.49"
