"sp","site","year","firstobsdate","lastobsdate","peakobsdate","midobsdate","alltotal"
"ck","albion","1980","245","275","268","263","25.75"
"ck","albion","1981","245","275","273","264","12.04"
"ck","albion","1982","244","275","257","257","37.02"
"ck","albion","1983","244","284","265","261","19.11"
"ck","albion","1984","246","283","264","267","32.57"
"ck","albion","1985","244","279","265","265","30.85"
"ck","albion","1986","245","292","282","273","17.13"
"ck","albion","1987","245","292","260","265","14.71"
"ck","albion","1988","244","286","261","262","28.36"
"ck","albion","1989","245","292","260","260","20.4"
"ck","albion","1990","248","292","276","273","19.06"
"ck","albion","1991","244","292","265","265","52.08"
"ck","albion","1992","244","291","261","270","67.84"
"ck","albion","1993","246","284","275","274","28.18"
"ck","albion","1994","244","277","276","264","21.57"
"ck","albion","1995","244","292","283","272","12.29"
"ck","albion","1996","244","287","249","260","38.27"
"ck","albion","1997","245","326","275","262","68.28"
"ck","albion","1998","245","296","267","263","17.7"
"ck","albion","1999","244","288","258","258","32.62"
"ck","albion","2000","245","291","257","257","32.27"
"ck","albion","2001","245","291","251","253","23.01"
"ck","albion","2002","244","292","264","264","32.1"
"ck","albion","2003","244","298","272","268","30.19"
"ck","albion","2004","245","291","269","263","36"
"ck","albion","2005","244","292","244","260","38.51"
"ck","albion","2006","244","292","254","256","8.11"
"ck","albion","2007","244","290","250","258","28.73"
"ck","albion","2008","245","291","247","249","26.68"
"ck","albion","2009","245","293","257","257","23.96"
"ck","albion","2010","247","293","275","267","18.11"
"ck","albion","2011","245","291","277","271","43.07"
"ck","albion","2012","244","294","246","256","14.38"
"ck","albion","2013","245","293","247","257","12.11"
"ck","albion","2014","249","293","253","259","8.72"
"ck","albion","2015","245","293","269","267","37.63"
"ck","albion","2016","244","294","244","266","15.29"
"ck","albion","2017","245","293","261","261","13.03"
"ck","albion","2018","245","283","267","261","8.46"
"ck","albion","2019",NA,NA,NA,NA,NA
