"sp","site","year","firstobsdate","lastobsdate","peakobsdate","midobsdate","alltotal"
"ck","albion","1980",NA,NA,NA,NA,NA
"ck","albion","1981",NA,NA,NA,NA,NA
"ck","albion","1982",NA,NA,NA,NA,NA
"ck","albion","1983",NA,NA,NA,NA,NA
"ck","albion","1984",NA,NA,NA,NA,NA
"ck","albion","1985",NA,NA,NA,NA,NA
"ck","albion","1986",NA,NA,NA,NA,NA
"ck","albion","1987",NA,NA,NA,NA,NA
"ck","albion","1988",NA,NA,NA,NA,NA
"ck","albion","1989",NA,NA,NA,NA,NA
"ck","albion","1990",NA,NA,NA,NA,NA
"ck","albion","1991",NA,NA,NA,NA,NA
"ck","albion","1992",NA,NA,NA,NA,NA
"ck","albion","1993",NA,NA,NA,NA,NA
"ck","albion","1994",NA,NA,NA,NA,NA
"ck","albion","1995",NA,NA,NA,NA,NA
"ck","albion","1996",NA,NA,NA,NA,NA
"ck","albion","1997",NA,NA,NA,NA,NA
"ck","albion","1998",NA,NA,NA,NA,NA
"ck","albion","1999",NA,NA,NA,NA,NA
"ck","albion","2000",NA,NA,NA,NA,NA
"ck","albion","2001","90","243","221","206","255.92"
"ck","albion","2002","91","242","186","197","203.29"
"ck","albion","2003","90","242","174","180","280.78"
"ck","albion","2004","91","243","184","207","142.31"
"ck","albion","2005","92","242","230","216","91.66"
"ck","albion","2006","90","242","202","203","80.35"
"ck","albion","2007","168","242","237","228","71.21"
"ck","albion","2008","125","243","241","227","124.33"
"ck","albion","2009","91","243","229","214","104.67"
"ck","albion","2010","91","243","185","196","99.68"
"ck","albion","2011","91","243","237","229","72.7"
"ck","albion","2012","118","243","230","229","35.6"
"ck","albion","2013","125","243","233","228","49.39"
"ck","albion","2014","112","243","185","201","80.67"
"ck","albion","2015","118","243","230","211","82.38"
"ck","albion","2016","144","243","232","219","59.44"
"ck","albion","2017","116","243","236","230","19.43"
"ck","albion","2018","129","243","240","223","30.52"
"ck","albion","2019","123","211","194","184","17.05"
