"sp","site","year","firstobsdate","lastobsdate","peakobsdate","peakobsdate.sp","peakobsdate.fa","midobsdate","alltotal","alltotal.sp","alltotal.fa"
"ck","albion","2001","90","291","223","186","223","209","278.454240960035","148.221734135927","130.232506824108"
"ck","albion","2002","91","290","187","187","213","203","233.144985262784","143.564798678767","89.5801865840164"
"ck","albion","2003","90","298","173","173","230","185","309.352404831785","204.471861491461","104.880543340324"
"ck","albion","2004","91","291","240","212","240","219","179.072769836076","80.1493927568257","98.9233770792498"
"ck","albion","2005","90","292","240","212","240","232","127.642653340147","39.4616398185401","88.1810135216074"
"ck","albion","2006","90","292","206","206","218","206","88.3413290084069","53.4666527178124","34.8746762905945"
"ck","albion","2007","168","292","238","212","238","235","100.224197313369","16.6082271936839","83.6159701196851"
"ck","albion","2008","125","293","243","198","243","231","150.772623780992","37.6956928563566","113.076930924635"
"ck","albion","2009","91","293","234","181","234","222","130.297268112927","54.0310412521582","76.2662268607689"
"ck","albion","2010","91","293","186","186","231","204","119.703431825978","69.1824338645401","50.5209979614377"
"ck","albion","2011","91","291","275","212","275","237","114.261778206375","14.7956732627266","99.4661049436484"
"ck","albion","2012","164","294","238","212","238","235","50.4915862365772","7.11690331399309","43.3746829225841"
"ck","albion","2013","111","293","234","212","234","231","63.0674628536995","13.5638879311863","49.5035749225132"
"ck","albion","2014","112","293","238","185","238","207","90.2111503055712","50.3485609700108","39.8625893355605"
"ck","albion","2015","116","293","269","212","269","225","119.896793219752","45.3995545969612","74.4972386227907"
"ck","albion","2016","115","294","233","212","233","227","75.837954233312","24.4757490893694","51.3622051439427"
"ck","albion","2017","167","293","263","212","263","237","33.232667914737","5.69531372866113","27.5373541860759"
"ck","albion","2018","112","293","236","187","236","232","40.6451184453866","12.0441071524301","28.6010112929565"
"ck","albion","2019","111","211","211","211","Inf","188","17.5647615709159","17.5647615709159","0"
