"","x"
"sp","ck"
"site","albion"
"mn.cpue","0.168811881188119"
"mn.total","1816.8"
"meanfirst.int","-1357.585"
"first.intlci","-1944.013"
"first.intuci","-771.156"
"first.yr","0.73"
"first.yrlci","0.436"
"first.yruci","1.023"
"last.int","319.624"
"last.intlci","-166.036"
"last.intuci","805.284"
"last.yr","-0.016"
"last.yrlci","-0.259"
"last.yruci","0.227"
"mid.int","-2304.229"
"mid.intlci","-2779.453"
"mid.intuci","-1829.004"
"mid.yr","1.255"
"mid.yrlci","1.017"
"mid.yruci","1.492"
"pk.int","-2084.334"
"pk.intlci","-3065.715"
"pk.intuci","-1102.953"
"pk.yr","1.145"
"pk.yrlci","0.654"
"pk.yruci","1.636"
