Model,Strebel,Strebel,Strebel,Strebel,Strebel,Strebel,Strebel,Strebel,,,,,,,,
Pod,J,J,K,K,L,L,ALL,ALL,,,,,,,,
Region,PS,USS,PS,USS,PS,USS,PS,USS,,,,,,,,
Season,Winter,Summer,Winter,Summer,Winter,Summer,Winter (without yearrs no data),Summer,,,,,,,,
annual change of activity peak:,-0.4,-1.09,-0.29,0.37,-1.09,-0.45,-0.04,0.98,,,,,,,,
lowerCI,-0.83,-1.61,-0.68,-0.03,-2.16,-1.09,-1.96,-0.17,,,,,,,,
upperCI,0.02,-0.59,0.09,0.8,0.02,0.19,1.81,2.06,,,,,,,,
data.type,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
