"ActLat","ActLong"
46.2664,-124.11
46.3734,-124.0737
46.9275,-124.1285
46.9448,-124.2828
47.1007,-124.2701
47.1517,-124.2543
47.5249,-122.4852
47.5829,-126.7662
47.6768,-122.4132
47.783,-122.3994
47.8026,-122.4012
47.8161,-122.3958
47.9043,-124.6388
47.9043,-124.6388
47.9053,-122.375
47.9053,-122.375
47.9053,-122.375
47.9053,-122.375
47.9538,-122.2972
47.9548,-122.2989
48.2618,-124.2748
48.2619,-124.2748
48.298,-123.4459
48.3085,-123.4038
48.3222,-124.3589
48.3339,-124.3949
48.35,-123.0213
48.35,-123.123
48.3667,-125.3967
48.3735,-123.2434
48.3751,-123.063
48.3852,-123.0808
48.386,-124.7845
48.3863,-123.305
48.3869,-123.4773
48.3873,-123.4773
48.3883,-123.3833
48.3932,-125.8997
48.4,-123.04
48.4021,-123.3488
48.4082,-124.6153
48.4137,-123.0125
48.4171,-123.0105
48.4186,-123.134
48.4209,-122.9753
48.4236,-123.0761
48.4287,-123.1011
48.4308,-122.993
48.4337,-123.0088
48.4357,-123.0316
48.4399,-124.7962
48.4449,-123.0483
48.4453,-123.0811
48.446,-123.1035
48.4463,-125.452
48.4487,-123.2533
48.4489,-123.0402
48.45,-123.4488
48.4517,-123.0335
48.4549,-123.0466
48.4558,-123.025
48.4558,-123.0378
48.4567,-123.0308
48.4568,-123.092
48.4569,-124.3841
48.4575,-123.0495
48.459,-123.075
48.4592,-123.0305
48.462,-123.104
48.463,-124.6314
48.464,-123.1135
48.4641,-123.0734
48.4667,-132.0333
48.4706,-124.6031
48.4708,-123.1139
48.4713,-123.0691
48.4718,-124.3746
48.4725,-123.0792
48.4726,-123.0788
48.4734,-124.3021
48.4738,-123.1311
48.4741,-123.0778
48.4745,-124.2872
48.4762,-123.0951
48.4782,-123.0735
48.48,-123.1134
48.4801,-123.0725
48.4808,-123.0929
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.4809,-123.0716
48.481,-123.0728
48.4811,-123.0956
48.4812,-123.0727
48.4813,-123.0949
48.4814,-123.0942
48.4815,-123.0789
48.4816,-123.0945
48.4816,-123.0944
48.4819,-123.072
48.4824,-123.1034
48.4825,-123.1166
48.4831,-123.0716
48.4833,-124.2948
48.4833,-123.0833
48.4836,-123.0711
48.4838,-123.084
48.4843,-123.0742
48.4845,-123.0719
48.4851,-123.07
48.4862,-123.07
48.4862,-123.07
48.4862,-123.07
48.4862,-123.07
48.4868,-124.471
48.4879,-123.1428
48.4901,-123.1107
48.4928,-124.3772
48.5,-124.8333
48.5005,-123.1483
48.5071,-123.1643
48.5075,-124.5097
48.5123,-124.7802
48.5124,-123.1466
48.5127,-123.1744
48.5133,-124.4595
48.5145,-124.4567
48.5145,-123.1585
48.515,-123.1534
48.515,-123.1534
48.5153,-124.4388
48.518,-123.1685
48.5204,-130.1783
48.5214,-123.1913
48.5216,-123.1699
48.5225,-123.1758
48.5251,-123.1787
48.5253,-123.1882
48.5262,-123.1718
48.5314,-123.1797
48.5378,-123.1865
48.5385,-123.1856
48.5408,-123.0125
48.5417,-123.1755
48.5425,-123.1882
48.5432,-123.182
48.5452,-123.1867
48.5479,-123.1844
48.5483,-123.1742
48.5487,-123.184
48.5501,-123.1902
48.5505,-123.1717
48.5569,-124.4312
48.5584,-123.1849
48.5585,-123.1833
48.5588,-123.1813
48.5632,-123.1971
48.5644,-123.192
48.5655,-123.1846
48.5662,-123.2492
48.568,-123.1833
48.57,-123.1909
48.573,-123.1843
48.5735,-123.1928
48.5736,-123.1874
48.5736,-123.1765
48.5737,-123.1955
48.5754,-123.1875
48.5762,-123.2033
48.5774,-123.2013
48.5783,-123.2046
48.579,-123.1954
48.5799,-123.1982
48.5802,-123.197
48.581,-123.1979
48.5811,-123.204
48.5813,-123.1961
48.5814,-123.1962
48.5816,-123.1973
48.582,-123.1879
48.5826,-124.752
48.5828,-123.1984
48.5828,-123.1967
48.5828,-123.2004
48.5833,-123.205
48.5834,-123.2034
48.5837,-123.2035
48.5838,-123.2032
48.5852,-123.2015
48.5852,-123.2054
48.588,-123.2112
48.5883,-123.2046
48.5885,-123.1904
48.5895,-123.2083
48.5899,-123.1893
48.5899,-123.1893
48.5899,-123.1893
48.5899,-123.1893
48.5899,-123.1893
48.5899,-123.1893
48.5899,-123.1893
48.5903,-123.19
48.5904,-123.1894
48.5904,-123.1911
48.5904,-123.2105
48.5905,-123.1882
48.5908,-123.1888
48.5908,-123.2062
48.5908,-123.2072
48.5912,-123.1891
48.5926,-123.2091
48.5928,-123.1779
48.5936,-123.1872
48.5985,-123.2095
48.5987,-123.2097
48.6,-123.1833
48.6,-123.1833
48.6027,-123.2074
48.608,-123.2105
48.6096,-123.2065
48.6114,-123.2138
48.6171,-123.2085
48.6175,-123.2042
48.6238,-125.2577
48.624,-123.2133
48.6244,-123.2094
48.6258,-123.2067
48.6281,-123.2006
48.6304,-122.9571
48.6349,-123.2131
48.6372,-123.2038
48.6378,-123.2084
48.6443,-123.2106
48.6564,-123.2181
48.6646,-123.2263
48.67,-123.228
48.7008,-125.4281
48.704,-123.2953
48.7125,-122.8742
48.7158,-123.2094
48.7187,-123.1842
48.7338,-123.1849
48.7367,-123.2283
48.7517,-123.1855
48.757,-125.641
48.7641,-123.0933
48.7643,-123.0927
48.7678,-123.3084
48.7838,-123.0439
48.784,-123.044
48.784,-123.044
48.784,-123.0439
48.784,-123.0439
48.784,-123.0439
48.7854,-123.0474
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7865,-123.044
48.7875,-123.0584
48.7876,-123.0636
48.7877,-123.0491
48.792,-123.2547
48.7948,-123.026
48.8062,-123.0085
48.8167,-123.1809
48.8286,-123.4336
48.8324,-123.1025
48.833,-128.3392
48.839,-125.283
48.8543,-123.0414
48.8562,-123.3256
48.8623,-122.7505
48.8623,-122.7505
48.873,-123.3092
48.874,-123.0397
48.8917,-123.3376
48.9075,-122.9097
48.921,-125.5164
48.9333,-125.0383
48.9408,-125.3792
48.941,-123.086
48.943,-123.0112
48.947,-123.057
48.9621,-123.1333
48.978,-123.104
48.9781,-123.1083
48.9854,-123.2257
48.998,-123.159
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
