year,day,season,day.type,pod
1979,53,winter,days.after.sept.30,J
1980,83,winter,days.after.sept.31,J
1981,84,winter,days.after.sept.32,J
1982,76,winter,days.after.sept.33,J
1983,47,winter,days.after.sept.34,J
1984,83,winter,days.after.sept.35,J
1985,78,winter,days.after.sept.36,J
1986,84,winter,days.after.sept.37,J
1987,101,winter,days.after.sept.38,J
1988,98,winter,days.after.sept.39,J
1989,52,winter,days.after.sept.40,J
1990,84,winter,days.after.sept.41,J
1991,85,winter,days.after.sept.42,J
1992,62,winter,days.after.sept.43,J
1993,65,winter,days.after.sept.44,J
1994,85,winter,days.after.sept.45,J
1995,61,winter,days.after.sept.46,J
1996,120,winter,days.after.sept.47,J
1997,57,winter,days.after.sept.48,J
1998,88,winter,days.after.sept.49,J
1999,141,winter,days.after.sept.50,J
2000,17,winter,days.after.sept.51,J
2001,118,winter,days.after.sept.52,J
2002,80,winter,days.after.sept.53,J
2003,79,winter,days.after.sept.54,J
2004,68,winter,days.after.sept.55,J
2005,61,winter,days.after.sept.56,J
2006,66,winter,days.after.sept.57,J
2007,24,winter,days.after.sept.58,J
2008,61,winter,days.after.sept.59,J
2009,92,winter,days.after.sept.60,J
2010,70,winter,days.after.sept.61,J
2011,26,winter,days.after.sept.62,J
2012,148,winter,days.after.sept.63,J
2013,47,winter,days.after.sept.64,J
2014,95,winter,days.after.sept.65,J
2015,10,winter,days.after.sept.66,J
2016,106,winter,days.after.sept.67,J
2017,80,winter,days.after.sept.68,J
2018,11,winter,days.after.sept.69,J
1979,130,summer,doy,J
1980,158,summer,doy,J
1981,150,summer,doy,J
1982,165,summer,doy,J
1983,144,summer,doy,J
1984,225,summer,doy,J
1985,252,summer,doy,J
1986,252,summer,doy,J
1987,169,summer,doy,J
1988,196,summer,doy,J
1989,249,summer,doy,J
1990,152,summer,doy,J
1991,179,summer,doy,J
1992,249,summer,doy,J
1993,248,summer,doy,J
1994,149,summer,doy,J
1995,187,summer,doy,J
1996,137,summer,doy,J
1997,125,summer,doy,J
1998,260,summer,doy,J
1999,273,summer,doy,J
2000,173,summer,doy,J
2001,124,summer,doy,J
2002,136,summer,doy,J
2003,141,summer,doy,J
2004,126,summer,doy,J
2005,185,summer,doy,J
2006,140,summer,doy,J
2007,132,summer,doy,J
2008,127,summer,doy,J
2009,126,summer,doy,J
2010,176,summer,doy,J
2011,195,summer,doy,J
2012,231,summer,doy,J
2013,138,summer,doy,J
2014,144,summer,doy,J
2015,144,summer,doy,J
2016,179,summer,doy,J
2017,127,summer,doy,J
1979,69,winter,days.after.sept.30,K
1980,79,winter,days.after.sept.31,K
1981,79,winter,days.after.sept.32,K
1982,76,winter,days.after.sept.33,K
1983,53,winter,days.after.sept.34,K
1984,78,winter,days.after.sept.35,K
1985,78,winter,days.after.sept.36,K
1986,79,winter,days.after.sept.37,K
1987,75,winter,days.after.sept.38,K
1988,76,winter,days.after.sept.39,K
1989,75,winter,days.after.sept.40,K
1990,123,winter,days.after.sept.41,K
