"Daily Test Fishing Data, SALMON GILL NET TEST, Albion Chinook Gillnet",,,,,,,,,,,1981
Date,Vessel,Set No,Location,Sockeye,Sock Jack,Coho,Pink,Chum,Chinook,Steelhead,Sturgeon
Jun 30 1981,1,1,Albion,0,0,0,0,0,7,0,0
Jun 30 1981,1,2,Albion,3,0,0,0,0,4,0,0
Daily total,,,,3,0,0,0,0,11,0,0
Jul 03 1981,1,1,Albion,1,0,0,0,0,6,0,0
Jul 03 1981,1,2,Albion,0,0,0,0,0,0,0,0
Daily total,,,,1,0,0,0,0,6,0,0
Jul 05 1981,1,1,Albion,0,0,0,0,0,10,0,0
Jul 05 1981,1,2,Albion,0,0,0,0,0,5,0,0
Daily total,,,,0,0,0,0,0,15,0,0
Jul 08 1981,1,1,Albion,0,0,0,0,0,2,0,0
Jul 08 1981,1,2,Albion,1,0,0,0,0,6,0,0
Daily total,,,,1,0,0,0,0,8,0,0
Jul 09 1981,1,1,Albion,25,0,0,0,0,2,0,0
Jul 09 1981,1,2,Albion,14,0,0,0,0,7,0,0
Daily total,,,,39,0,0,0,0,9,0,0
Jul 11 1981,1,1,Albion,0,0,0,0,0,6,0,0
Jul 11 1981,1,2,Albion,0,0,0,0,0,5,0,0
Daily total,,,,0,0,0,0,0,11,0,0
Jul 14 1981,1,1,Albion,1,0,0,0,0,5,0,0
Jul 14 1981,1,2,Albion,0,0,0,0,0,4,0,0
Daily total,,,,1,0,0,0,0,9,0,0
Jul 16 1981,1,1,Albion,1,0,0,0,0,9,0,0
Jul 16 1981,1,2,Albion,0,0,0,0,0,6,0,0
Daily total,,,,1,0,0,0,0,15,0,0
Jul 18 1981,1,1,Albion,0,0,0,0,0,3,0,0
Jul 18 1981,1,2,Albion,0,0,0,0,0,8,0,0
Daily total,,,,0,0,0,0,0,11,0,0
Jul 21 1981,1,1,Albion,1,0,0,0,0,1,0,0
Jul 21 1981,1,2,Albion,1,0,0,0,0,3,0,0
Daily total,,,,2,0,0,0,0,4,0,0
Jul 23 1981,1,1,Albion,9,0,0,0,0,9,0,0
Jul 23 1981,1,2,Albion,8,0,0,0,0,4,0,0
Daily total,,,,17,0,0,0,0,13,0,0
Jul 25 1981,1,1,Albion,8,0,0,0,0,13,0,0
Jul 25 1981,1,2,Albion,5,0,0,0,0,6,0,0
Daily total,,,,13,0,0,0,0,19,0,0
Jul 28 1981,1,1,Albion,0,0,0,0,0,2,0,0
