Date,,Net Length,Catch,Sets,Effort,CPUE
21-Apr-13,,200,0,2,15500,0
22-Apr-13,,200,0,2,15900,0
23-Apr-13,,200,0,2,15800,0
24-Apr-13,,200,0,2,16100,0
25-Apr-13,,200,0,2,15600,0
26-Apr-13,,200,0,2,15000,0
27-Apr-13,,200,0,2,15600,0
Statweek 04/4,,,0,14,,
28-Apr-13,,200,0,2,16700,0
29-Apr-13,,200,0,2,15600,0
30-Apr-13,,200,0,2,15400,0
1-May-13,,200,0,2,14200,0
2-May-13,,200,0,2,14700,0
3-May-13,,200,0,2,14400,0
4-May-13,,200,0,2,14900,0
Statweek 04/5,,,0,14,,
5-May-13,,200,1,2,15000,0.07
6-May-13,,200,0,2,15000,0
7-May-13,,200,0,2,14800,0
8-May-13,,200,0,2,13100,0
9-May-13,,200,0,2,12900,0
10-May-13,,200,0,2,15200,0
11-May-13,,200,0,2,12000,0
Statweek 05/1,,,1,14,,
12-May-13,,200,0,2,11900,0
13-May-13,,200,0,2,11600,0
14-May-13,,200,0,2,10900,0
15-May-13,,200,0,2,10400,0
16-May-13,,200,0,2,10200,0
17-May-13,,200,0,2,10700,0
18-May-13,,200,0,2,11100,0
Statweek 05/2,,,0,14,,
19-May-13,,200,0,2,10500,0
20-May-13,,200,0,2,10500,0
21-May-13,,200,1,2,10300,0.1
22-May-13,,200,0,2,11000,0
23-May-13,,200,0,2,11300,0
24-May-13,,200,0,2,12200,0
25-May-13,,200,0,2,11900,0
Statweek 05/3,,,1,14,,
26-May-13,,200,0,2,11800,0
27-May-13,,200,0,2,12000,0
28-May-13,,200,0,2,12100,0
29-May-13,,200,0,2,11700,0
30-May-13,,200,0,2,12000,0
31-May-13,,200,0,2,10700,0
1-Jun-13,,200,1,2,11200,0.09
Statweek 05/4,,,1,14,,
2-Jun-13,,200,0,2,11100,0
3-Jun-13,,200,0,2,11500,0
4-Jun-13,,200,0,2,11700,0
5-Jun-13,,200,2,2,11500,0.17
6-Jun-13,,200,0,2,11200,0
7-Jun-13,,200,0,2,11200,0
8-Jun-13,,200,0,2,11400,0
Statweek 06/1,,,2,14,,
9-Jun-13,,200,1,2,11800,0.08
10-Jun-13,,200,0,2,10800,0
11-Jun-13,,200,0,2,11400,0
12-Jun-13,,200,0,2,11200,0
13-Jun-13,,200,1,2,11800,0.08
14-Jun-13,,200,3,2,11800,0.25
15-Jun-13,,200,1,2,11400,0.09
Statweek 06/2,,,6,14,,
16-Jun-13,,200,1,2,11800,0.08
17-Jun-13,,200,4,2,11400,0.35
18-Jun-13,,200,0,2,11400,0
19-Jun-13,,200,0,2,11600,0
20-Jun-13,,200,0,2,11200,0
21-Jun-13,,200,1,2,11600,0.09
22-Jun-13,,200,2,2,11700,0.17
Statweek 06/3,,,8,14,,
23-Jun-13,,200,0,2,11900,0
24-Jun-13,,200,1,2,11500,0.09
25-Jun-13,,200,4,2,11500,0.35
26-Jun-13,,200,5,2,11500,0.43
27-Jun-13,,200,0,2,11100,0
28-Jun-13,,200,0,2,11200,0
29-Jun-13,,200,0,2,10800,0
Statweek 06/4,,,10,14,,
30-Jun-13,,200,2,2,11000,0.18
1-Jul-13,,200,0,2,11400,0
2-Jul-13,,200,0,2,11300,0
3-Jul-13,,200,1,2,11300,0.09
4-Jul-13,,200,2,2,11500,0.17
5-Jul-13,,200,3,2,11500,0.26
6-Jul-13,,200,1,2,11600,0.09
Statweek 07/1,,,9,14,,
7-Jul-13,,200,11,2,12800,0.86
8-Jul-13,,200,1,2,12000,0.08
9-Jul-13,,200,0,2,12600,0
10-Jul-13,,200,6,2,13500,0.44
11-Jul-13,,200,14,2,14200,0.99
12-Jul-13,,200,4,2,13800,0.29
13-Jul-13,,200,2,2,13200,0.15
Statweek 07/2,,,38,14,,
14-Jul-13,,200,2,2,13900,0.14
15-Jul-13,,200,4,2,13700,0.29
16-Jul-13,,200,5,2,13400,0.37
17-Jul-13,,200,1,2,14600,0.07
18-Jul-13,,200,1,2,15000,0.07
19-Jul-13,,200,2,2,16200,0.12
20-Jul-13,,200,7,2,15800,0.44
Statweek 07/3,,,22,14,,
21-Jul-13,,200,10,2,16300,0.61
22-Jul-13,,200,14,2,16800,0.83
23-Jul-13,,200,11,2,16600,0.66
24-Jul-13,,200,8,2,15900,0.5
25-Jul-13,,200,10,2,16700,0.6
26-Jul-13,,200,0,2,13300,0
27-Jul-13,,200,2,2,14700,0.14
Statweek 07/4,,,55,14,,
28-Jul-13,,200,5,2,14800,0.34
29-Jul-13,,200,1,2,15200,0.07
30-Jul-13,,200,0,2,14800,0
31-Jul-13,,200,5,2,16800,0.3
1-Aug-13,,200,12,2,16300,0.74
2-Aug-13,,200,17,2,17800,0.96
3-Aug-13,,200,17,2,16400,1.04
Statweek 07/5,,,57,14,,
4-Aug-13,,200,15,2,17400,0.86
5-Aug-13,,200,15,2,16500,0.91
